App_Name,Review,Platforms,Link,Age_Rating,Date_Published
Too Many Cooks,2,"iPhone, iPod Touch, iPad, Mac, Android",https://www.commonsensemedia.org/app-reviews/too-many-cooks,8,2021-04-18
The Walking Dead: Survivors,4,"iPhone, iPad, Android",https://www.commonsensemedia.org/app-reviews/the-walking-dead-survivors,15,2021-04-16
Word Hookup,2,"iPhone, iPod Touch, iPad, Mac, Android",https://www.commonsensemedia.org/app-reviews/word-hookup,6,2021-04-12
VSBRO,1,"iPhone, iPod Touch, iPad",https://www.commonsensemedia.org/app-reviews/vsbro,18,2020-06-05
Death Squared (RORORORO),5,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/death-squared-rorororo,10,2020-06-05
Whatifi,4,"iPhone, iPod Touch, iPad",https://www.commonsensemedia.org/app-reviews/whatifi,16,2021-01-06
Hellosaurus,4,"iPhone, iPod Touch, iPad",https://www.commonsensemedia.org/app-reviews/hellosaurus,3,2020-12-29
Collab - Band Together,4,"iPhone, iPod Touch, iPad",https://www.commonsensemedia.org/app-reviews/collab-band-together,13,2020-12-22
Thinkrolls Play & Code,5,"iPhone, iPod Touch, iPad",https://www.commonsensemedia.org/app-reviews/thinkrolls-play-code,5,2020-12-20
Doctor Who: The Lonely Assassins,4,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/doctor-who-the-lonely-assassins,10,2021-03-22
Kill It With Fire,2,"iPhone, iPod Touch, iPad, Mac, Android",https://www.commonsensemedia.org/app-reviews/kill-it-with-fire,8,2021-03-19
Blade&Soul: Revolution,4,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/bladesoul-revolution,10,2021-03-15
Plum Village: Zen Meditation,3,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/plum-village-zen-meditation,13,2021-02-10
Hive Social,2,"iPhone, iPod Touch, iPad",https://www.commonsensemedia.org/app-reviews/hive-social,18,2021-02-09
Mazecraft,3,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/mazecraft,10,2021-02-08
#SelfCare,3,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/selfcare,16,2021-02-05
Builder Buddies Online VR RPG,2,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/builder-buddies-online-vr-rpg,13,2020-07-29
High Rise - A Puzzle Cityscape,2,"iPhone, iPad, Android",https://www.commonsensemedia.org/app-reviews/high-rise-a-puzzle-cityscape,8,2020-07-28
byte - creativity first,3,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/byte-creativity-first,15,2020-01-30
Code the Robot. Save the Cat,4,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/code-the-robot-save-the-cat,8,2020-01-30
Full Frontal'$ Totally Unrigged Primary,3,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/full-frontal-totally-unrigged-primary,13,2019-11-22
Potion Punch II,4,"iPhone, iPad, Android",https://www.commonsensemedia.org/app-reviews/potion-punch-ii,8,2019-11-22
StoryToys Jungle Book,3,"iPhone, iPod Touch, iPad, Android, Kindle Fire",https://www.commonsensemedia.org/app-reviews/storytoys-jungle-book,5,2019-11-08
edjing Mix - dj app,3,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/edjing-mix-dj-app,8,2019-11-08
Phase 10: World Tour,3,"iPhone, iPad, Android",https://www.commonsensemedia.org/app-reviews/phase-10-world-tour,10,2019-11-08
Sugar Blast,4,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/sugar-blast,4,2019-11-08
Koongya Draw Party,4,"iPhone, iPad, Android",https://www.commonsensemedia.org/app-reviews/koongya-draw-party,13,2020-04-04
Angry Birds Casual,4,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/angry-birds-casual,6,2020-04-04
May the Forces Be With You,2,"iPhone, iPod Touch, iPad",https://www.commonsensemedia.org/app-reviews/may-the-forces-be-with-you,6,2020-04-03
Faktr - Prime,3,"iPhone, iPod Touch, iPad",https://www.commonsensemedia.org/app-reviews/faktr-prime,8,2019-10-24
Happy Not Perfect: Meditation,4,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/happy-not-perfect-meditation,13,2019-10-24
JFK Moonshot,4,"iPhone, iPod Touch, iPad",https://www.commonsensemedia.org/app-reviews/jfk-moonshot,6,2019-10-10
The Addams Family: Mystery Mansion,4,"iPhone, Android",https://www.commonsensemedia.org/app-reviews/the-addams-family-mystery-mansion,11,2019-10-10
Battleship,4,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/battleship-0,10,2020-05-22
Love Letter,3,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/love-letter,10,2020-05-20
Jaipur: A Card Game of Duels,4,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/jaipur-a-card-game-of-duels,6,2020-05-20
Wakeout!,3,"iPhone, iPod Touch, iPad",https://www.commonsensemedia.org/app-reviews/wakeout,6,2020-04-17
Poio by Kahoot! Learn to Read,4,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/poio-by-kahoot-learn-to-read,4,2020-04-17
Evolution Board Game,4,"iPhone, iPad, Android",https://www.commonsensemedia.org/app-reviews/evolution-board-game,10,2020-04-16
blinx,4,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/blinx,8,2019-12-12
Ablo,3,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/ablo,17,2019-12-11
KartRider Rush+,4,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/kartrider-rush,10,2020-11-13
Vlad and Niki Supermarket game,1,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/vlad-and-niki-supermarket-game,13,2020-11-13
Parler,2,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/parler,17,2020-11-12
OK Play - Learning Activities,5,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/ok-play-learning-activities,2,2020-09-11
You Are Loved - Spread Kindness,3,"iPhone, iPod Touch, iPad",https://www.commonsensemedia.org/app-reviews/you-are-loved-spread-kindness,13,2020-09-10
Guardian Tales,4,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/guardian-tales,10,2020-09-10
TTYL | Talk with Friends,4,"iPhone, iPod Touch, iPad",https://www.commonsensemedia.org/app-reviews/ttyl-talk-with-friends,13,2019-09-28
Note Quest: Learn Music Fast,3,"iPhone, iPod Touch, iPad",https://www.commonsensemedia.org/app-reviews/note-quest-learn-music-fast,8,2019-09-27
LingoDeer - Learn Languages,5,"iPhone, iPod Touch, iPad",https://www.commonsensemedia.org/app-reviews/lingodeer-learn-languages,8,2019-09-27
The Seven Deadly Sins: Grand Cross,3,"iPhone, iPad, Android",https://www.commonsensemedia.org/app-reviews/the-seven-deadly-sins-grand-cross,13,2020-03-11
La Liga - Educational Games,3,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/la-liga-educational-games,9,2020-03-10
